Title,Director,Cast,Year,Language,movie_info
Idhi Maa Prema Katha,Ayodhya Karthik,"Anchor Ravi, Meghana Lokesh, Prabhas Seenu, Priyadarshi Pullikonda",2017,Telugu,"Movie Title: Idhi Maa Prema Katha. Directed by: Ayodhya Karthik. Starring: Anchor Ravi, Meghana Lokesh, Prabhas Seenu, Priyadarshi Pullikonda. Released in: 2017."
Juliet Lover of Idiot,Ajay Vodhirala,"Naveen Chandra, Niveda Thomas, Abhimanyu Singh, Ester Noronha, Ali",2017,Telugu,"Movie Title: Juliet Lover of Idiot. Directed by: Ajay Vodhirala. Starring: Naveen Chandra, Niveda Thomas, Abhimanyu Singh, Ester Noronha, Ali. Released in: 2017."
Kutumba Katha Chitram,V. S. Vasu,"Nandu, Sreemukhi, Kamal Kamaraju",2017,Telugu,"Movie Title: Kutumba Katha Chitram. Directed by: V. S. Vasu. Starring: Nandu, Sreemukhi, Kamal Kamaraju. Released in: 2017."
Lacchi,Eeshwar,"Tej Dilip, Raghu Babu, Jayathi, Tejaswini, Thagubothu Ramesh, Dhanraj Sukhram",2017,Telugu,"Movie Title: Lacchi. Directed by: Eeshwar. Starring: Tej Dilip, Raghu Babu, Jayathi, Tejaswini, Thagubothu Ramesh, Dhanraj Sukhram. Released in: 2017."
Mama O Chandamama,Vishaka Venkat,"Ram Karthik, Sana Makbul, Suman, Jeeva",2017,Telugu,"Movie Title: Mama O Chandamama. Directed by: Vishaka Venkat. Starring: Ram Karthik, Sana Makbul, Suman, Jeeva. Released in: 2017."
Padipoya Nee Mayalo,RK Kampally,"Arun Gupta, Saveri Durgam, Jayavardhan",2017,Telugu,"Movie Title: Padipoya Nee Mayalo. Directed by: RK Kampally. Starring: Arun Gupta, Saveri Durgam, Jayavardhan. Released in: 2017."
Seetha...Ramuni Kosam,Anil Gopi Reddy,"Sharath Sreerangam, Karunya Chowdhary, Thagubothu Ramesh, Bala",2017,Telugu,"Movie Title: Seetha...Ramuni Kosam. Directed by: Anil Gopi Reddy. Starring: Sharath Sreerangam, Karunya Chowdhary, Thagubothu Ramesh, Bala. Released in: 2017."
Tholi Parichayam,L. Radha Krishna,"Venky, Lasya, Rajeev Kanakala, Viva Harsha",2017,Telugu,"Movie Title: Tholi Parichayam. Directed by: L. Radha Krishna. Starring: Venky, Lasya, Rajeev Kanakala, Viva Harsha. Released in: 2017."
June 1:43,Bhaskar Bantupalli,"Aditya Srivastava, Richa Saxena, Arun Babu, Dimple",2017,Telugu,"Movie Title: June 1:43. Directed by: Bhaskar Bantupalli. Starring: Aditya Srivastava, Richa Saxena, Arun Babu, Dimple. Released in: 2017."
Jandhyala Rasina Premakatha,Krishna Varma,"Sekhar, Sri Lakshmi, Gayatri Gupta, Dileep Kumar",2017,Telugu,"Movie Title: Jandhyala Rasina Premakatha. Directed by: Krishna Varma. Starring: Sekhar, Sri Lakshmi, Gayatri Gupta, Dileep Kumar. Released in: 2017."
Devi Sri Prasad,Sri Kishore,"Bhupal Raju, Manoj Nandam, Dhanraj, Pooja Ramachandran",2017,Telugu,"Movie Title: Devi Sri Prasad. Directed by: Sri Kishore. Starring: Bhupal Raju, Manoj Nandam, Dhanraj, Pooja Ramachandran. Released in: 2017."
Balakrishnudu,Pavan Mallela,"Nara Rohit, Regina Cassandra, Ramya Krishnan, Adithya Menon, Ajay",2017,Telugu,"Movie Title: Balakrishnudu. Directed by: Pavan Mallela. Starring: Nara Rohit, Regina Cassandra, Ramya Krishnan, Adithya Menon, Ajay. Released in: 2017."
Yours Lovingly,Jogi Raju Mamidi,"Prudhvi Potluri, Soumya Reddy",2017,Telugu,"Movie Title: Yours Lovingly. Directed by: Jogi Raju Mamidi. Starring: Prudhvi Potluri, Soumya Reddy. Released in: 2017."
Raja the Great,Anil Ravipudi,"Ravi Teja, Mehreen Pirzada, Radhika, Vivan Bhatena, Prakash Raj, Rajendra Prasad, Sampath Raj, Sai Kumar",2017,Telugu,"Movie Title: Raja the Great. Directed by: Anil Ravipudi. Starring: Ravi Teja, Mehreen Pirzada, Radhika, Vivan Bhatena, Prakash Raj, Rajendra Prasad, Sampath Raj, Sai Kumar. Released in: 2017."
Anaganaga Oka Durga,Prakash Pulijala,"Priyanka Naidu, Kranthi Kumar, Jabardasth Srinu, Sanjay Krishna",2017,Telugu,"Movie Title: Anaganaga Oka Durga. Directed by: Prakash Pulijala. Starring: Priyanka Naidu, Kranthi Kumar, Jabardasth Srinu, Sanjay Krishna. Released in: 2017."
Dyavudaa,Dasari Sairam,"Bhanu Prasad, Sharath Chandra, Jai, Anusha, Karunya",2017,Telugu,"Movie Title: Dyavudaa. Directed by: Dasari Sairam. Starring: Bhanu Prasad, Sharath Chandra, Jai, Anusha, Karunya. Released in: 2017."
Vunnadhi Okate Zindagi,Kishore Tirumala,"Ram Pothineni, Lavanya Tripathi, Anupama Parameswaran, Anisha Ambrose, Sree Vishnu, Kireeti Damaraju, Priyadarshi Pullikonda, Anand",2017,Telugu,"Movie Title: Vunnadhi Okate Zindagi. Directed by: Kishore Tirumala. Starring: Ram Pothineni, Lavanya Tripathi, Anupama Parameswaran, Anisha Ambrose, Sree Vishnu, Kireeti Damaraju, Priyadarshi Pullikonda, Anand. Released in: 2017."
Angel,Bahubali Palani,"Naga Anvesh, Hebah Patel, Suman, Kabir Duhan Singh, Saptagiri, Pradeep Rawat, Shayaji Shinde",2017,Telugu,"Movie Title: Angel. Directed by: Bahubali Palani. Starring: Naga Anvesh, Hebah Patel, Suman, Kabir Duhan Singh, Saptagiri, Pradeep Rawat, Shayaji Shinde. Released in: 2017."
Next Nuvve,Prabhakar Podakandla,"Aadi, Vaibhavi Shandilya, Rashmi Gautam, Srinivas Avasarala, Brahmaji",2017,Telugu,"Movie Title: Next Nuvve. Directed by: Prabhakar Podakandla. Starring: Aadi, Vaibhavi Shandilya, Rashmi Gautam, Srinivas Avasarala, Brahmaji. Released in: 2017."
PSV Garuda Vega,Praveen Sattaru,"Rajasekhar, Adith Arun, Kishore, Pooja Kumar, Shraddha Das",2017,Telugu,"Movie Title: PSV Garuda Vega. Directed by: Praveen Sattaru. Starring: Rajasekhar, Adith Arun, Kishore, Pooja Kumar, Shraddha Das. Released in: 2017."
Undha Ledha,Siva Prasad,"Ramakrishna, Ankitha",2017,Telugu,"Movie Title: Undha Ledha. Directed by: Siva Prasad. Starring: Ramakrishna, Ankitha. Released in: 2017."
C/o Surya,Suseenthiran,"Sundeep Kishan, Mehreen Pirzada, Harish Uthaman, Vikranth",2017,Telugu,"Movie Title: C/o Surya. Directed by: Suseenthiran. Starring: Sundeep Kishan, Mehreen Pirzada, Harish Uthaman, Vikranth. Released in: 2017."
Dare,K. Krishna Prasad,"Naviin, Pallavi, Sakshi",2017,Telugu,"Movie Title: Dare. Directed by: K. Krishna Prasad. Starring: Naviin, Pallavi, Sakshi. Released in: 2017."
London Babulu,Chinni Krishna,"Rakshith, Swati Reddy, Murali Sharma, Satya, Dhanraj",2017,Telugu,"Movie Title: London Babulu. Directed by: Chinni Krishna. Starring: Rakshith, Swati Reddy, Murali Sharma, Satya, Dhanraj. Released in: 2017."
Lovers Club,Dhruv Shekar,"Anish Chandra, Aryan, Pavani, Poorni, Ajay Ratnam",2017,Telugu,"Movie Title: Lovers Club. Directed by: Dhruv Shekar. Starring: Anish Chandra, Aryan, Pavani, Poorni, Ajay Ratnam. Released in: 2017."
Prema Entha Madhuram Priyuralu Antha Katinam,Goverdhan Gajjala,"Chandrakanth Datta, Radhika Mehrotra, Pallavi Dora, Thulasi Shivamani, Tanikella Bharani",2017,Telugu,"Movie Title: Prema Entha Madhuram Priyuralu Antha Katinam. Directed by: Goverdhan Gajjala. Starring: Chandrakanth Datta, Radhika Mehrotra, Pallavi Dora, Thulasi Shivamani, Tanikella Bharani. Released in: 2017."
Prematho Mee Karthik,Rishi,"Kartikeya Gummakonda, Simrat Kaur, Gollapudi Maruti Rao, Murali Sharma",2017,Telugu,"Movie Title: Prematho Mee Karthik. Directed by: Rishi. Starring: Kartikeya Gummakonda, Simrat Kaur, Gollapudi Maruti Rao, Murali Sharma. Released in: 2017."
Snehamera Jeevitham,Upputuri Mahesh,"Siva Balaji, Rajeev Kanakala, Sushma Yarlagadda, Chalapati Rao",2017,Telugu,"Movie Title: Snehamera Jeevitham. Directed by: Upputuri Mahesh. Starring: Siva Balaji, Rajeev Kanakala, Sushma Yarlagadda, Chalapati Rao. Released in: 2017."
Napoleon,Anand Ravi,"Anand Ravi, Komalee Prasad, Ravi Varma",2017,Telugu,"Movie Title: Napoleon. Directed by: Anand Ravi. Starring: Anand Ravi, Komalee Prasad, Ravi Varma. Released in: 2017."
Baby,D. Suresh,"Baby Sathanya, Srivarshini, Manoj K. Bharathi, Shira",2017,Telugu,"Movie Title: Baby. Directed by: D. Suresh. Starring: Baby Sathanya, Srivarshini, Manoj K. Bharathi, Shira. Released in: 2017."
Okkadu Migiladu,Ajay Andrews,"Manchu Manoj, Anisha Ambrose, Suhasini Maniratnam, Milind Gunaji, Posani Krishna Murali",2017,Telugu,"Movie Title: Okkadu Migiladu. Directed by: Ajay Andrews. Starring: Manchu Manoj, Anisha Ambrose, Suhasini Maniratnam, Milind Gunaji, Posani Krishna Murali. Released in: 2017."
Bharat Ane Nenu,Koratala Siva,"Mahesh Babu, Kiara Advani, Prakash Raj, R. Sarathkumar, Devaraj, P. Ravi Shankar, Yashpal Sharma",2018,Telugu,"Movie Title: Bharat Ane Nenu. Directed by: Koratala Siva. Starring: Mahesh Babu, Kiara Advani, Prakash Raj, R. Sarathkumar, Devaraj, P. Ravi Shankar, Yashpal Sharma. Released in: 2018."
Middle Class Abbayi,Venu Sree Raam,"Nani, Sai Pallavi, Bhumika Chawla",2017,Telugu,"Movie Title: Middle Class Abbayi. Directed by: Venu Sree Raam. Starring: Nani, Sai Pallavi, Bhumika Chawla. Released in: 2017."
Hello,Vikram Kumar,"Akhil Akkineni, Kalyani Priyadarshan, Jagapathi Babu, Ramya Krishna, Ajay",2017,Telugu,"Movie Title: Hello. Directed by: Vikram Kumar. Starring: Akhil Akkineni, Kalyani Priyadarshan, Jagapathi Babu, Ramya Krishna, Ajay. Released in: 2017."
Hyderabad Love Story,Raj Satya,"Rahul Ravindran, Reshmi Menon, Jiya",2018,Telugu,"Movie Title: Hyderabad Love Story. Directed by: Raj Satya. Starring: Rahul Ravindran, Reshmi Menon, Jiya. Released in: 2018."
Juvva,Trikoti Peta,"Ranjith Somi, Palak Lalwani, Posani Krishna Murali, Ali",2018,Telugu,"Movie Title: Juvva. Directed by: Trikoti Peta. Starring: Ranjith Somi, Palak Lalwani, Posani Krishna Murali, Ali. Released in: 2018."
Raa Raa,L. Ramakrishna Raju,"Meka Srikanth, Naziya, Posani Krishna Murali, Raghu Karumanchi, Shakalaka Shankar",2018,Telugu,"Movie Title: Raa Raa. Directed by: L. Ramakrishna Raju. Starring: Meka Srikanth, Naziya, Posani Krishna Murali, Raghu Karumanchi, Shakalaka Shankar. Released in: 2018."
Ye Mantram Vesave,Sridhar Marri,"Vijay Deverakonda, Shivani Singh",2018,Telugu,"Movie Title: Ye Mantram Vesave. Directed by: Sridhar Marri. Starring: Vijay Deverakonda, Shivani Singh. Released in: 2018."
Aithe 2.0,Raj Madiraju,"Indraneil Sengupta, Zara Shah, Kartavya Sharma, Abhishek Gupta",2018,Telugu,"Movie Title: Aithe 2.0. Directed by: Raj Madiraju. Starring: Indraneil Sengupta, Zara Shah, Kartavya Sharma, Abhishek Gupta. Released in: 2018."
Kirrak Party,Sharan Koppisetty,"Nikhil Siddharth, Simran Pareenja, Samyuktha Hegde, Rakendu Mouli",2018,Telugu,"Movie Title: Kirrak Party. Directed by: Sharan Koppisetty. Starring: Nikhil Siddharth, Simran Pareenja, Samyuktha Hegde, Rakendu Mouli. Released in: 2018."
Nelluri Pedda Reddy,V. J. Reddy,"Satish Reddy, Mouryani, Ambati Srinivas",2018,Telugu,"Movie Title: Nelluri Pedda Reddy. Directed by: V. J. Reddy. Starring: Satish Reddy, Mouryani, Ambati Srinivas. Released in: 2018."
Vadena,Sai Suneel Nimmala,"Shiv Tandel, Neha Deshpande, Ajay Ghosh",2018,Telugu,"Movie Title: Vadena. Directed by: Sai Suneel Nimmala. Starring: Shiv Tandel, Neha Deshpande, Ajay Ghosh. Released in: 2018."
Manasainodu,Satyavarapu Venkateswararao,"Manoj Nandam, Priya Singh, Posani Krishna Murali, Raghu Babu",2018,Telugu,"Movie Title: Manasainodu. Directed by: Satyavarapu Venkateswararao. Starring: Manoj Nandam, Priya Singh, Posani Krishna Murali, Raghu Babu. Released in: 2018."
Anaganaga Oka Vullo,Sai Krishna K. V.,"Ashok Kumar, Priyanka Sharma, Suman, Krishnudu",2018,Telugu,"Movie Title: Anaganaga Oka Vullo. Directed by: Sai Krishna K. V.. Starring: Ashok Kumar, Priyanka Sharma, Suman, Krishnudu. Released in: 2018."
MLA,Upendra Madhav,"Nandamuri Kalyan Ram, Kajal Aggarwal, Ravi Kishan, Brahmanandam",2018,Telugu,"Movie Title: MLA. Directed by: Upendra Madhav. Starring: Nandamuri Kalyan Ram, Kajal Aggarwal, Ravi Kishan, Brahmanandam. Released in: 2018."
Needi Naadi Oke Katha,Udugula Venu,"Sree Vishnu, Satna Titus, Nara Rohit, Posani Krishna Murali",2018,Telugu,"Movie Title: Needi Naadi Oke Katha. Directed by: Udugula Venu. Starring: Sree Vishnu, Satna Titus, Nara Rohit, Posani Krishna Murali. Released in: 2018."
Rangasthalam,Sukumar,"Ram Charan, Samantha Akkineni, Aadhi Pinisetty, Jagapathi Babu, Prakash Raj",2018,Telugu,"Movie Title: Rangasthalam. Directed by: Sukumar. Starring: Ram Charan, Samantha Akkineni, Aadhi Pinisetty, Jagapathi Babu, Prakash Raj. Released in: 2018."
Chal Mohan Ranga,Krishna Chaitanya,"Nithiin, Megha Akash, Madhunandan, Rao Ramesh, Sanjay Swaroop",2018,Telugu,"Movie Title: Chal Mohan Ranga. Directed by: Krishna Chaitanya. Starring: Nithiin, Megha Akash, Madhunandan, Rao Ramesh, Sanjay Swaroop. Released in: 2018."
Satya Gang,Prabhas Nimmala,"Sathvik Eshwar, Prathyush, Akshita, Harshitha Singh, Suman, Suhasini Maniratnam",2018,Telugu,"Movie Title: Satya Gang. Directed by: Prabhas Nimmala. Starring: Sathvik Eshwar, Prathyush, Akshita, Harshitha Singh, Suman, Suhasini Maniratnam. Released in: 2018."
Ameerpet 2 America,Challa Bhanu Kiran Rammohan Komanduri,"Tejas, Pallavi Dora, Vamsi Krishna, Vamshi Koduri, Meghana Lokesh, Sasha Singh, Mahita Beeram",2018,Telugu,"Movie Title: Ameerpet 2 America. Directed by: Challa Bhanu Kiran Rammohan Komanduri. Starring: Tejas, Pallavi Dora, Vamsi Krishna, Vamshi Koduri, Meghana Lokesh, Sasha Singh, Mahita Beeram. Released in: 2018."
Krishnarjuna Yuddham,Merlapaka Gandhi,"Nani, Anupama Parameswaran, Rukshar Mir, Brahmaji",2018,Telugu,"Movie Title: Krishnarjuna Yuddham. Directed by: Merlapaka Gandhi. Starring: Nani, Anupama Parameswaran, Rukshar Mir, Brahmaji. Released in: 2018."
Chalte Chalte,Pradeep K. K.,"Vishwadev Rachakonda, Priyanka Jain, Rajashree Nayar, Shayaji Shinde, Rao Ramesh",2018,Telugu,"Movie Title: Chalte Chalte. Directed by: Pradeep K. K.. Starring: Vishwadev Rachakonda, Priyanka Jain, Rajashree Nayar, Shayaji Shinde, Rao Ramesh. Released in: 2018."
Soda Golisoda,Hari Babu,"Maanas, Nitya Naresh, Brahmanandam, Ali, Shakalaka Shankar, Krishna Bhagawan",2018,Telugu,"Movie Title: Soda Golisoda. Directed by: Hari Babu. Starring: Maanas, Nitya Naresh, Brahmanandam, Ali, Shakalaka Shankar, Krishna Bhagawan. Released in: 2018."
Rachayitha,Vidya Sagar Raju,"Vidya Sagar Raju, Sanchita Padukone, Ragini, Supriya",2018,Telugu,"Movie Title: Rachayitha. Directed by: Vidya Sagar Raju. Starring: Vidya Sagar Raju, Sanchita Padukone, Ragini, Supriya. Released in: 2018."
Manasuku Nachindi,Manjula Ghattamaneni,"Sundeep Kishan, Amyra Dastur, Tridha Choudhury, Adith Arun, Priyadarshi Pullikonda",2018,Telugu,"Movie Title: Manasuku Nachindi. Directed by: Manjula Ghattamaneni. Starring: Sundeep Kishan, Amyra Dastur, Tridha Choudhury, Adith Arun, Priyadarshi Pullikonda. Released in: 2018."
Okka Kshanam,Vi Anand,"Allu Sirish, Surbhi, Seerat Kapoor, Srinivas Avasarala, Jayaprakash",2017,Telugu,"Movie Title: Okka Kshanam. Directed by: Vi Anand. Starring: Allu Sirish, Surbhi, Seerat Kapoor, Srinivas Avasarala, Jayaprakash. Released in: 2017."
2 Countries,N. Shankar,"Sunil, Manisha Raj, Sanjjanaa, Naresh",2017,Telugu,"Movie Title: 2 Countries. Directed by: N. Shankar. Starring: Sunil, Manisha Raj, Sanjjanaa, Naresh. Released in: 2017."
Chilkur Balaji,Allani Sridhar,"Sunil Sharma, Saikumar, S. P. Balasubrahmanyam, Aamani, Bhanu Sri Mehra, Suman",2018,Telugu,"Movie Title: Chilkur Balaji. Directed by: Allani Sridhar. Starring: Sunil Sharma, Saikumar, S. P. Balasubrahmanyam, Aamani, Bhanu Sri Mehra, Suman. Released in: 2018."
Agnyaathavaasi,Trivikram Srinivas,"Pawan Kalyan, Keerthy Suresh, Anu Emmanuel, Aadhi Pinisetty, Boman Irani",2018,Telugu,"Movie Title: Agnyaathavaasi. Directed by: Trivikram Srinivas. Starring: Pawan Kalyan, Keerthy Suresh, Anu Emmanuel, Aadhi Pinisetty, Boman Irani. Released in: 2018."
Jai Simha,K. S. Ravikumar,"Nandamuri Balakrishna, Nayantara, Haripriya, Natasha Doshi, Prakash Raj, Ashutosh Rana",2018,Telugu,"Movie Title: Jai Simha. Directed by: K. S. Ravikumar. Starring: Nandamuri Balakrishna, Nayantara, Haripriya, Natasha Doshi, Prakash Raj, Ashutosh Rana. Released in: 2018."
Rangula Ratnam,Sri Rajani,"Raj Tarun, Chitra Shukla, Priyadarshi Pullikonda, Sithara",2018,Telugu,"Movie Title: Rangula Ratnam. Directed by: Sri Rajani. Starring: Raj Tarun, Chitra Shukla, Priyadarshi Pullikonda, Sithara. Released in: 2018."
3 Mukhi,Aishwarya Addala,"Aishwarya Addala, Satyanand, Gopi Chand, Yadha Kumar",2018,Telugu,"Movie Title: 3 Mukhi. Directed by: Aishwarya Addala. Starring: Aishwarya Addala, Satyanand, Gopi Chand, Yadha Kumar. Released in: 2018."
Ego,R. V. Subramanyam,"Aashish Raj Bidkikar, Simran Sharma, Diksha Panth",2018,Telugu,"Movie Title: Ego. Directed by: R. V. Subramanyam. Starring: Aashish Raj Bidkikar, Simran Sharma, Diksha Panth. Released in: 2018."
E Ee,Ram Ganapati Rao,"Neiraj Sham, Naira Shah, Thagubothu Ramesh, Krishna Bhagawan",2017,Telugu,"Movie Title: E Ee. Directed by: Ram Ganapati Rao. Starring: Neiraj Sham, Naira Shah, Thagubothu Ramesh, Krishna Bhagawan. Released in: 2017."
Bhaagamathie,G. Ashok,"Anushka Shetty, Jayaram, Unni Mukundan, Asha Sarath, Murali Sharma",2018,Telugu,"Movie Title: Bhaagamathie. Directed by: G. Ashok. Starring: Anushka Shetty, Jayaram, Unni Mukundan, Asha Sarath, Murali Sharma. Released in: 2018."
HBD - Hacked By Devil,Krishna Karthik,"Santoshi Sharma, Meghana, Himaja",2018,Telugu,"Movie Title: HBD - Hacked By Devil. Directed by: Krishna Karthik. Starring: Santoshi Sharma, Meghana, Himaja. Released in: 2018."
Touch Chesi Chudu,Vikram Sirikonda,"Ravi Teja, Raashi Khanna, Seerat Kapoor, Freddy Daruwala",2018,Telugu,"Movie Title: Touch Chesi Chudu. Directed by: Vikram Sirikonda. Starring: Ravi Teja, Raashi Khanna, Seerat Kapoor, Freddy Daruwala. Released in: 2018."
Howrah Bridge,Revan Yadhu,"Rahul Ravindran, Chandini Chowdhary, Manali Rathod, Rao Ramesh, Ajay, Ali",2018,Telugu,"Movie Title: Howrah Bridge. Directed by: Revan Yadhu. Starring: Rahul Ravindran, Chandini Chowdhary, Manali Rathod, Rao Ramesh, Ajay, Ali. Released in: 2018."
Gayatri,R. R. Madan,"Mohan Babu, Shriya Saran, Vishnu Manchu, Brahmanandam",2018,Telugu,"Movie Title: Gayatri. Directed by: R. R. Madan. Starring: Mohan Babu, Shriya Saran, Vishnu Manchu, Brahmanandam. Released in: 2018."
Inttelligent,V. V. Vinayak,"Sai Dharam Tej, Lavanya Tripathi, Rahul Dev, Ashish Vidyarthi, Sayaji Shinde, Nassar, Dev Gill, Jaya Prakash Reddy, Brahmanandam",2018,Telugu,"Movie Title: Inttelligent. Directed by: V. V. Vinayak. Starring: Sai Dharam Tej, Lavanya Tripathi, Rahul Dev, Ashish Vidyarthi, Sayaji Shinde, Nassar, Dev Gill, Jaya Prakash Reddy, Brahmanandam. Released in: 2018."
Tholi Prema,Venky Atluri,"Varun Tej, Raashi Khanna",2018,Telugu,"Movie Title: Tholi Prema. Directed by: Venky Atluri. Starring: Varun Tej, Raashi Khanna. Released in: 2018."
Idi Naa Love Story,M. Ramesh Gopi,"Tarun Kumar, Oviya, Manchu Manoj",2018,Telugu,"Movie Title: Idi Naa Love Story. Directed by: M. Ramesh Gopi. Starring: Tarun Kumar, Oviya, Manchu Manoj. Released in: 2018."
Awe,Prashanth Varma,"Kajal Aggarwal, Nithya Menen, Regina Cassandra, Eesha Rebba, Srinivas Avasarala, Murali Sharma",2018,Telugu,"Movie Title: Awe. Directed by: Prashanth Varma. Starring: Kajal Aggarwal, Nithya Menen, Regina Cassandra, Eesha Rebba, Srinivas Avasarala, Murali Sharma. Released in: 2018."
Chalo,Venky Kudumula,"Naga Shaurya, Rashmika Mandanna, Naresh, Achyuth Kumar, Raghu Babu",2018,Telugu,"Movie Title: Chalo. Directed by: Venky Kudumula. Starring: Naga Shaurya, Rashmika Mandanna, Naresh, Achyuth Kumar, Raghu Babu. Released in: 2018."
Raju Gari Gadhi 2,Ohmkar,"Nagarjuna, Samantha Ruth Prabhu, Seerat Kapoor, Abhinaya, Rao Ramesh, Vennela Kishore, Ashwin Babu, Praveen",2017,Telugu,"Movie Title: Raju Gari Gadhi 2. Directed by: Ohmkar. Starring: Nagarjuna, Samantha Ruth Prabhu, Seerat Kapoor, Abhinaya, Rao Ramesh, Vennela Kishore, Ashwin Babu, Praveen. Released in: 2017."
Kavacham,Srinivas Mamilla,"Bellamkonda Sreenivas, Neil Nitin Mukesh, Kajal Aggarwal, Mehreen Pirzada, Harshvardhan Rane, Mukesh Rishi, Harish Uthaman, Posani Krishna Murali",2018,Telugu,"Movie Title: Kavacham. Directed by: Srinivas Mamilla. Starring: Bellamkonda Sreenivas, Neil Nitin Mukesh, Kajal Aggarwal, Mehreen Pirzada, Harshvardhan Rane, Mukesh Rishi, Harish Uthaman, Posani Krishna Murali. Released in: 2018."
Subhalekha + Lu,Sarrath Narwade,"Sreenivasa Sayee, Deeksha Sharma Raina, Priya Vadlamani, Vamsi Raj, Mona Bedre, Appaji Ambarisha Darbha",2018,Telugu,"Movie Title: Subhalekha + Lu. Directed by: Sarrath Narwade. Starring: Sreenivasa Sayee, Deeksha Sharma Raina, Priya Vadlamani, Vamsi Raj, Mona Bedre, Appaji Ambarisha Darbha. Released in: 2018."
Nene Kedi No.1,Johni,"Shakalaka Shankar, Khushi Gadhvi, Gurleen Chopra, Mukul Dev",2019,Telugu,"Movie Title: Nene Kedi No.1. Directed by: Johni. Starring: Shakalaka Shankar, Khushi Gadhvi, Gurleen Chopra, Mukul Dev. Released in: 2019."
Saaho,Sujeeth,"Prabhas, Shraddha Kapoor, Neil Nitin Mukesh, Arun Vijay, Jackie Shroff, Chunky Pandey, Mahesh Manjrekar, Lal, Mandira Bedi, Murali Sharma, Vennela Kishore, Evelyn Sharma, Supreeth",2019,Telugu,"Movie Title: Saaho. Directed by: Sujeeth. Starring: Prabhas, Shraddha Kapoor, Neil Nitin Mukesh, Arun Vijay, Jackie Shroff, Chunky Pandey, Mahesh Manjrekar, Lal, Mandira Bedi, Murali Sharma, Vennela Kishore, Evelyn Sharma, Supreeth. Released in: 2019."
Jodi,Viswanath Arigella,"Aadi Saikumar, Shraddha Srinath",2019,Telugu,"Movie Title: Jodi. Directed by: Viswanath Arigella. Starring: Aadi Saikumar, Shraddha Srinath. Released in: 2019."
Nani's Gang Leader,Vikram Kumar,"Nani, Priyanka Mohan, Kartikeya Gummakonda, Lakshmi, Saranya Ponvannan",2019,Telugu,"Movie Title: Nani's Gang Leader. Directed by: Vikram Kumar. Starring: Nani, Priyanka Mohan, Kartikeya Gummakonda, Lakshmi, Saranya Ponvannan. Released in: 2019."
