Title,Director,Cast,Year,Language,movie_info
Love You Bangaram,Goverdhan Reddy,"Rahul Haridas, Shravya",2014,Telugu,"Movie Title: Love You Bangaram. Directed by: Goverdhan Reddy. Starring: Rahul Haridas, Shravya. Released in: 2014."
Masala,K. Vijaya Bhaskar,"Venkatesh, Ram Pothineni, Anjali, Shazahn Padamsee",2013,Telugu,"Movie Title: Masala. Directed by: K. Vijaya Bhaskar. Starring: Venkatesh, Ram Pothineni, Anjali, Shazahn Padamsee. Released in: 2013."
Manasunu Maaya Seyake,Suresh P Kumar,"Prince, Sethu, Richa Panai, Disha Pandey, Manobala",2014,Telugu,"Movie Title: Manasunu Maaya Seyake. Directed by: Suresh P Kumar. Starring: Prince, Sethu, Richa Panai, Disha Pandey, Manobala. Released in: 2014."
1: Nenokkadine,Sukumar,"Mahesh Babu, Kriti Sanon",2014,Telugu,"Movie Title: 1: Nenokkadine. Directed by: Sukumar. Starring: Mahesh Babu, Kriti Sanon. Released in: 2014."
Venkatadri Express,Merlapaka Gandhi,"Sundeep Kishan, Rakul Preet Singh, M. S. Narayana, Brahmaji, Jayaprakash Reddy",2013,Telugu,"Movie Title: Venkatadri Express. Directed by: Merlapaka Gandhi. Starring: Sundeep Kishan, Rakul Preet Singh, M. S. Narayana, Brahmaji, Jayaprakash Reddy. Released in: 2013."
Ishta Sakhi,Bharat Parepalli,"Varun, Bhaskar, Sriram, Anusmrithi",2013,Telugu,"Movie Title: Ishta Sakhi. Directed by: Bharat Parepalli. Starring: Varun, Bhaskar, Sriram, Anusmrithi. Released in: 2013."
Aadu Magaadra Bujji,Krishnareddy Gangadasu,"Sudheer Babu, Asmita Sood, Poonam Kaur",2013,Telugu,"Movie Title: Aadu Magaadra Bujji. Directed by: Krishnareddy Gangadasu. Starring: Sudheer Babu, Asmita Sood, Poonam Kaur. Released in: 2013."
Prema Ishq Kaadhal,Pavan Sadineni,"Harshavardhan Rane, Vishnu Vardhan, Harish, Vithika Sheru, Ritu Varma, Sree Mukhi, Ravi Prakash, Satyam Rajesh",2013,Telugu,"Movie Title: Prema Ishq Kaadhal. Directed by: Pavan Sadineni. Starring: Harshavardhan Rane, Vishnu Vardhan, Harish, Vithika Sheru, Ritu Varma, Sree Mukhi, Ravi Prakash, Satyam Rajesh. Released in: 2013."
Natho Nenu,Rahul Singh Kagwal,Jai Akash,2013,Telugu,Movie Title: Natho Nenu. Directed by: Rahul Singh Kagwal. Starring: Jai Akash. Released in: 2013.
Pranaya Veedhullo,Prabhakar Jaini,"Dr. K. V. Ramanachari, Suresh Chandra, Vamshi Krishna, Manaswini, Sri Divya, Arjun",2013,Telugu,"Movie Title: Pranaya Veedhullo. Directed by: Prabhakar Jaini. Starring: Dr. K. V. Ramanachari, Suresh Chandra, Vamshi Krishna, Manaswini, Sri Divya, Arjun. Released in: 2013."
